code,name,current_price,change_pct,volume,volume_ratio,ma25_gap,ma75_gap,per,pbr,credit_ratio,next_earnings
8035,東京エレクトロン,,,,,,,,,,
6857,アドバンテスト,,,,,,,,,,
6146,ディスコ,,,,,,,,,,
7735,SCREENホールディングス,,,,,,,,,,
6315,TOWA,,,,,,,,,,
4980,デクセリアルズ,,,,,,,,,,
5803,フジクラ,,,,,,,,,,
5801,古河電気工業,,,,,,,,,,
5802,住友電気工業,,,,,,,,,,
6834,精工技研,,,,,,,,,,
6777,santec Holdings,,,,,,,,,,
6622,ダイヘン,,,,,,,,,,
6504,富士電機,,,,,,,,,,
6617,東光高岳,,,,,,,,,,
5805,SWCC,,,,,,,,,,
7011,三菱重工業,,,,,,,,,,
7013,IHI,,,,,,,,,,
6946,日本アビオニクス,,,,,,,,,,
7721,東京計器,,,,,,,,,,
5595,QPS研究所,,,,,,,,,,
6506,安川電機,,,,,,,,,,
6954,ファナック,,,,,,,,,,
6383,ダイフク,,,,,,,,,,
5016,JX金属,,,,,,,,,,
5713,住友金属鉱山,,,,,,,,,,
4107,伊勢化学工業,,,,,,,,,,
1812,鹿島建設,,,,,,,,,,
1801,大成建設,,,,,,,,,,
1942,関電工,,,,,,,,,,
6370,栗田工業,,,,,,,,,,
